,full_state,bill_name,legiscan_summary
0,Alaska,HB27,"An Act relating to school athletics, recreation, athletic teams, and sports."
1,Alaska,HB105,"An Act relating to parental rights in a child's education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date."
2,Alaska,SB96,"An Act relating to parental rights in a child's education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date."
3,Arizona,SB1028,Adult cabaret performances; prohibited locations
4,Arizona,SB1026,State monies; drag shows; minors
5,Arizona,SB1001,Pronouns; biological sex; school policies
6,Arizona,SB1030,Sexually explicit performances; regulation
7,Arizona,SB1040,Sexually explicit performances; regulation
8,Arizona,SB1702,Sexually explicit performances; regulation
9,Alaska,HB27,"An Act relating to school athletics, recreation, athletic teams, and sports."
10,Alaska,HB105,"An Act relating to parental rights in a child's education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date."
11,Alaska,SB96,"An Act relating to parental rights in a child's education; relating to access to school records; relating to sex education, human reproduction education, and human sexuality education; relating to school disciplinary and safety programs; and providing for an effective date."
12,Arizona,SB1028,Adult cabaret performances; prohibited locations
13,Arizona,SB1026,State monies; drag shows; minors
14,Arizona,SB1001,Pronouns; biological sex; school policies
15,Arizona,SB1030,Sexually explicit performances; regulation
16,Arizona,SB1040,Public schools; restrooms; reasonable accommodations
17,Arizona,SB1702,Gender transition; prohibitions; hormone therapies
18,Arizona,SB1700,Schools; school libraries; books; prohibition
19,Arizona,SB1698,Unlawful exposure; minors; sentencing; reporting
20,Arizona,SB1417,Students with disabilities; diaper changes
21,Arizona,SB1694,Public monies; ideology training; prohibition
22,Arizona,HB2711,Student information; parental notification; requirements
23,Arkansas,HB1156,Concerning A Public School District Or Open-enrollment Public Charter School Policy Relating To A Public School Student's Sex.
24,Arkansas,SB43,To Add Certain Restrictions To An Adult-oriented Performance; And To Define An Adult-oriented Performance.
25,Arkansas,SB125,Concerning Free Speech Rights At State-supported Institutions Of Higher Education.
26,Arkansas,SB199,Concerning Medical Malpractice And Gender Transition In Minors; And To Create The Protecting Minors From Medical Malpractice Act Of 2023.
27,Arkansas,SB270,To Amend The Criminal Offense Of Sexual Indecency With A Child.
28,Arkansas,HB1468,"To Create The Given Name Act; And To Prohibit Requiring Employees Of Public Schools And State-supported Institutions Of Higher Education To Use A Person's Preferred Pronoun, Name, Or Title Without Parental Consent."
29,Arkansas,SB294,To Create The Learns Act; To Amend Various Provisions Of The Arkansas Code As They Relate To Early Childhood Through Grade Twelve Education In The State Of Arkansas; And To Declare An Emergency.
30,Arkansas,HB1615,To Create The Conscience Protection Act; And To Amend The Religious Freedom Restoration Act.
31,California,AB1314,"An act to amend Section 51101 of the Education Code, relating to pupils."
32,Colorado,HB23-1098,FILL MANUALLY
33,Connecticut,HB6213,To eliminate unfair competition in women's interscholastic sporting competition.
34,Connecticut,SB468,To provide civil immunity for interscholastic athletic organizations and the sanctioning bodies of private youth organizations when such entities adopt policies that require an athletic participant to compete on a team that matches the gender identity on the person's birth certificate.
35,Florida,HB991,Provides that journalist's privilege does not apply to defamation claims when defendant is professional journalist or media entity; revises provisions concerning venue for certain actions; provides for attorney fees & costs to prevailing plaintiffs in certain actions; specifies certain persons may not be considered public figures; provides certain allegations are defamatory per se; provides statutory damages to prevailing plaintiffs who are subject of such allegations; creates presumption that statement by anonymous source is presumptively false; provides public figure does not need to show actual malice to prevail in defamation action.
36,Florida,HB1069,"Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes."
37,Florida,HB1223,Requires specified policies relating to person's sex at public K-12 educational institutions; prohibits specified actions relating to use of certain titles & pronouns; & revises requirements for instruction on sexual orientation & gender identity in public schools.
38,Florida,SB1320,"Defining the term ""sex""; prohibiting an employee, contractor, or student of a public school from being required to refer to a person using personal titles or pronouns that do not correspond with that person's sex; prohibiting classroom instruction by school personnel on sexual orientation or gender identity until grade 9; providing that such prohibition applies to charter schools; providing that materials used to teach reproductive health or any disease as part of certain courses must be approved by the Department of Education; requiring district school boards to adopt and publish a specified process relating to student access to certain materials, etc."
39,Florida,HB999,"Revises powers & duties of BOG; revises academic & research excellence standards for preeminent state research universities; provides requirements for hiring university faculty; provides requirements for employment, promotion, & evaluation processes for state university employees; authorizes state university boards of trustees to review tenure status of faculty members; requires such boards to confirm selection & reappointment of specified personnel; requires state university presidents to annually present specified information to such boards; creates Institute for Risk Management & Insurance Education within College of Business at UCF; revises requirements for general education core courses."
40,Florida,SB266,"Revising requirements in the Board of Governors duties relating to the mission of each state university; requiring each state university to annually report certain research expenditures of a specified amount; authorizing the Board of Trustees of the University of Florida to use funds to establish and fund the Hamilton College for Classical and Civic Education; revising how general education core courses are established; specifying a one-time limit on the requirement to change accrediting agencies, etc."
41,Florida,SB254,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; requiring certain licensed facilities, by a specified date and as a condition of licensure thereafter, to provide a signed attestation of specified information to the Agency for Health Care Administration; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age, etc."
42,Florida,HB1421,"Authorizes court of state to enter, modify, or stay child custody determination under specified circumstances; prohibits persons & entities from expending funds for reimbursement for specified clinical interventions; prohibits person's biological sex from being changed on birth certificate; prohibits gender clinical interventions for minors; authorizes certain persons to refuse to participate in gender clinical interventions; prohibits health insurance policy & health maintenance contract from providing coverage for gender clinical interventions; provides physician liability & authorizes award of specified damages, fees, & costs."
43,Florida,SB1674,"Creating the ""Safety in Private Spaces Act""; providing requirements for exclusive use of restrooms by gender; providing requirements for exclusive use of changing facilities by gender; providing exceptions; prohibiting willfully entering a restroom or changing facility designated for the opposite sex and refusing to immediately depart when asked to do so by another person present there; providing criminal penalties, etc."
44,Florida,HB1521,Provides requirements for exclusive use of restrooms & changing facilities by gender; prohibits willfully entering restroom or changing facility designated for opposite sex & refusing to depart when asked to do so; provides requirements for exclusive use of domestic violence centers by gender; provides requirements for correctional institutions; requires entities that receive state licenses to submit compliance documentation; authorizes AG to bring enforcement actions provides exception for individuals born with certain genetically or biochemically verifiable disorder of sex development.
45,Georgia,SB88,"A BILL to be entitled an Act to amend Article 1 of Chapter 7 of Title 19 of the O.C.G.A., relating to general provisions regarding parent and child relationship generally, so as to prohibit certain actions by an adult acting in loco parentis with respect to child privacy; to provide for related matters; to provide for a short title; to repeal conflicting laws; and for other purposes."
46,Georgia,SB141,"A BILL to be entitled an Act to amend Chapter 1 of Title 43 of the O.C.G.A., relating to general provisions relative to professions and businesses, so as to prohibit health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; to prohibit health care providers from aiding or abetting such practices for minors; to amend Part 3 of Article 16 of Chapter 2 of Title 20 of the O.C.G.A., relating to student health, so as to prohibit school nurses and other employees and officials from engaging in certain conduct relating to a minor's perception of his or her gender; to provide for legislative findings; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes."
47,Georgia,SB140,"A BILL to be entitled an Act to amend Article 1 of Chapter 7 of Title 31 of the Official Code of Georgia Annotated, relating to regulation of hospitals and related institutions, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors from being performed in hospitals and other licensed healthcare facilities; to provide for exceptions; to provide for violations; to amend Article 1 of Chapter 34 of Title 43 of the Official Code of Georgia Annotated, relating to the Georgia Composite Medical Board, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors; to provide for exceptions; to provide for violations; to provide for legislative findings; to provide for related matters; to repeal conflicting laws; and for other purposes."
48,Georgia,SB180,"A BILL to be entitled an Act to amend Title 50 of the Official Code of Georgia Annotated, relating to state government, so as to provide for the preservation of religious freedom; to provide for legislative findings and determinations; to provide for the granting of relief; to provide for definitions; to provide for construction; to provide for a short title; to provide for an effective date; to repeal conflicting laws; and for other purposes."
49,Georgia,HB653,"A BILL to be entitled an Act to amend Chapter 1 of Title 43 of the O.C.G.A., relating to general provisions relative to professions and businesses, so as to prohibit health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes."
50,Hawaii,HB509,Bans instruction related to sexual orientation and gender identity in public schools. Establishes new parental rights regarding health services and records. Establishes the parental right to sue and receive damages if schools fail to adhere to new provisions.
51,Hawaii,HB508,Creates the requirement of school sports to designate sex-specific teams for the purpose of gender equality.
52,Hawaii,HB891,Prohibits the performance of gender reassignment surgeries on minors. Establishes a Class A felony for those who perform gender reassignment surgeries on minors.
53,Hawaii,SB1429,Creates the requirement of school sports to designate sexspecific teams for the purpose of gender equality.
54,Idaho,S1003,"GOVERNMENT -- Amends existing law to provide that a bidder, offeror, contractor, or subcontractor shall not be required to provide access to a multiple occupancy restroom, multiple occupancy shower facility, or multiple occupancy changing room on any basis other than biological sex."
