,bill_id,model_summary
0,AK HB27,['This bill prohibits the public school or private school from a student who participates in an athletic team or sport designated female women or girls. The bill prohibits the public school or private school from a student who participates in an athletic team or sport designated female women or girls. The bill prohibits the public school or private school from a student who participates in an athletic team or sport designated female women or girls from a student who participates in an athletic team or sport designated female women or girls from a student who participates in an']
1,AK HB105,"['This bill requires that the state certifys the authority of parent and allows the parent to object to and withdraw the child from an activity class or program gh . the bill requires that the state certify that the child is not a male female or something else that is not related to an individuals sex assigned at birth or sex characteristics sec.', ""This bill requires that all schools in an attendance area or the district standards for notifying teachers of dangerous students are consistent with the standards for notifying teachers of dangerous students. The bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires that the bill requires a child under the age of a school in a school or the school of a student to be a student for a student to be a student to be a student's physical or a student to be a ."", ""the act is a measure of a school's safety and safety program that provides a system of protection for students from gh biological sex access to single occupant facilities. The act is a measure of a school's safety and privacy program that provides a system of protection for students from gh biological sex access to single occupant facilities.""]"
2,AK SB96,"['This bill requires that the state certifys that the child is not a male female or something else that is male female or something else that is male female or something else that is male female. The bill requires that the state certify that the child is not a male female or something else that is male female or something else that is male female. The bill requires that the state certify that the child is not a male female or something else that is male female.', 'This bill requires that the school district or regional educational attendance area provide a copy of the childs record to the school district or the district that is a regional educational attendance area. The bill requires that the school district or regional educational attendance area provide a copy of the childs record to the school district or the district that is a regional educational attendance area. The bill requires that the school district or regional educational attendance area provide a copy of the childs record to the school district or the district that is a regional educational attendance area.', 'This bill aims to address the physical safety and privacy of students in locker rooms and restrooms through the separation of students by g biological sex access to single occupant facilities.']"
3,AZ SB1028,['This bill prohibits county or municipality from enforcing and enforcing ordinances that regulate the location of adult cabaret performances in manner that is at least as restrictive as this section. This bill prohibits county or municipality from enforcing ordinances that regulate the location of adult cabaret performances in manner that is atleast as restrictive as this section.']
4,AZ SB1026,['Section arizona revised statutes is amended to read use of state monies prohibited drag shows targeting minors definition notwithstanding any other law tax monies of this state federal monies passing through the state treasury or any other state monies may not be used by any person or entity including any state funded institution or facility for drag show targeting minors. Section arizona revised statutes is amended to read violations classification prohibition on state monies any officer agent or employee of the state who fails or refuses to comply with any']
5,AZ SB1001,['This bill prohibits any person described in this bill from discussing matters of public concern outside of the context of the persons official duties. The bill prohibits any person described in this bill from discussing matters of public concern outside of the context of the persons official duties.']
6,AZ SB1030,"['This bill provides for the establishment of a setback line and other plans providing for adequate light air and parking facilities and for expediting traffic within the districts. The bill also provides for the establishment of a setback line and other plans providing for adequate light air and parking facilities.', 'This bill prohibits the use of marijuana or marijuana as defined in section ii or for the purposes of this bill. The bill prohibits the use of marijuana or marijuana as defined in section iii.', 'adult service establishments that conduct sexually explicit performances or nude model studios adult oriented business manager means person on the premises of an adult oriented business who is authorized to exercise overall operational control of the business adult service means dancing serving food or beverages modeling posing wrestling singing reading talking listening or other performances or activities conducted for any consideration in an adult oriented business by person who is nude or semi nude during all or part of the time that the person is providing the service adult service provider or erotic entertainer means any natural person who', 'This bill prohibits the establishment of a non-profit organization that provides a non-profit organization with a non-profit organization that provides a non-profit organization with a non-profit organization. The bill prohibits the establishment of a non-profit organization that provides a non-profit organization with a non-profit organization that provides a non-profit organization with a non-profit organization that provides a non-profit organization with a non-profit organization.', 'This bill prohibits the disclosure of animage of another person who is identifiable from the image itself or from information displayed in connection with the image. This bill prohibits the disclosure of animage of another person who is identifiable from the image itself or from information displayed in connection with the image. This bill prohibits the disclosure of animage of another person who is identifiable from the image itself or from information displayed in connection with the image.']"
7,AZ SB1040,"['This bill prohibits public schools from adopting policies necessary to accommodate persons protected under the americans with disabilities act of pl stat or young children in need of physical assistance when using restrooms or changing facilities located in public schools. This bill prohibits public schools from adopting policies necessary to accommodate persons protected under the americans with disabilities act of pl stat or young children in need of physical assistance when using restrooms or changing facilities located in public schools.', 'means facility in which person may in state of undress in presence of others includes locker room changing room or shower room restroom means facility that includes one or more toilets or urinals sex means persons immutable biological sex as determined by anatomy and genetics existing at the time of the persons birth evidence of persons biological sex. This act may cited as the arizona accommodations for all children act.']"
8,AZ SB1700,"['This bill prohibits the school district from providing sex education instruction to pupil student unless the pupil provides written permission for the child student to participate in the sex education curricula procedures. The bill prohibits the school district from providing sex education instruction to pupil student unless the pupil provides written permission for the child student to participate in the sex education curricula procedures. The bill prohibits the school district from providing sex education instruction to pupil student unless the pupil provides written permission for the child student to a sex education and other school districts a school to provide sex education to the .', 'The right to opt out of instruction on acquired immune deficiency syndrome is a requirement for a high school diploma in the field of education . the right to opt out of instruction on acquired immune deficiency syndrome is a requirement for a high school diploma in the field of education . the right to receive a school report card is a requirement for a school to receive a school report card .', 'The school principal or the superintendent of the school district at the office of the school district at the office of the school district may either deliver the requested information to the parent or submit to the parent written explanation of the reasons for denying the requested information if the request for information is denied or the parent does not receive the requested information within fifteen days after receiving the requested information . the governing board shall consider the request at the next scheduled public meeting of the governing board for the purposes of this section parent means the natural or adoptive parent or legal guardi', 'This bill prohibits charter school sites that have a charter school site from making the books and materials available to students. The bill prohibits charter school sites that have full time library media specialist or an equivalent position from making the books and materials available to students. The bill prohibits charter school sites that have full time library media specialist or an equivalent position from making the books and materials available to students.', 'This bill prohibits the elective course allowed by section manage and control the school property within its district except that district may enter into partnership with an entity including charter school another school district or military base to operate school or offer educational services in district building including at vacant or partially used building or in any building on the entity property. The bill prohibits the elective course allowed by section manage and control the school property within its district except that district may enter into partnership with an entity including charter school another school district or military base to operate school or offer educational services in district', 'The district electors have authorized the purchase of school buildings to be purchased by the district electors in the name of the district . the district electors have authorized the purchase of school sites to be purchased by the district electors . the district electors have authorized the purchase of school sites to be purchased by the district electors . the district also authorizes the district to purchase school sites to purchase school sites to obtain the site to be purchased .', 'The Board shall remit monies deposited in the bank accounts atleast monthly to the county treasurer for deposit as provided in paragraph of this subsection. The Board shall remit monies deposited in the bank accounts atleast monthly to the county treasurer for deposit as provided in paragraph of this subsection.', 'This bill prohibits schools from participating in athletic activities in other states, including the state of Florida, and prohibits schools from participating in athletic activities. The bill prohibits schools from participating in athletic activities in other states, including the state of Florida, and prohibits schools from participating in athletic activities.', 'This bill provides a comprehensive and comprehensive education program for all children with disabilities and provides a comprehensive education program for all children with disabilities. The bill provides a comprehensive education program for all children with disabilities and provides a comprehensive education program for all children with disabilities.', 'The school district governing board is exempt from this section if the governing board determines that the schools hall be closed because it poses danger to the health or safety of the pupils or employees of the school governing board. The school district governing board may consult with the division of school facilities within the department of administration for technical assistance and for information on the impact of closing school. The school district governing board may not require the school district to take or not take any action incorporate instruction on native american history into appropriate existing curricula prescribe and', 'This bill prohibits school districts from harassing and bullying other pupils on school grounds on school grounds on school grounds on school grounds on school grounds on school grounds on school buses at school sponsored events and activities. This bill prohibits school districts from submitting false reports of incidents of harassment intimidation or bullying to the appropriate school official. The bill prohibits school districts from submitting false reports of incidents of harassment intimidation or bullying to the appropriate school official.', 'The school district is a state-wide school district that provides a comprehensive and comprehensive education program to the school district. The school district is a state-wide school district that provides a comprehensive education program to the school district. The school district is a state-wide school district that provides a comprehensive education program to the school district.', 'This bill provides the school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district for at least five consecutive months and a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with a school district with ', 'The arizona state library archives and public records for the maintenance and storage of school district public records will allow school districts to elect to satisfy the requirements of this paragraph by maintaining and storing these records either on paper or in an electronic format or combination of paper and electronic format adopt in public meeting and implement policies for principal evaluations before adopting principal evaluation policies the governing boards hall adopt policies that are designed to improve principal performance and improve student achievement include the use of quantitative data on the academic progress for all students .', 'This waiver does not apply if the school district its governing board members or its employees are guilty of gross negligence or intentional misconduct . the waiver does not apply if the school district its governing board members or its employees are guilty of gross negligence or intentional misconduct .', 'This bill prohibits the school districts from imposing a minimum school facility adequacy guidelines for students to attend certain schools based on the students place of residence. The bill prohibits the school districts from imposing a minimum school facility adequacy guidelines.', 'This bill prohibits any materials for the elective course permitted by section ca district library is free to all pupils of suitable age who attend the school residents of the district. The bill prohibits any materials for the elective course permitted by section ca district library is free to all pupils of suitable age who attend the school residents of the district. The bill prohibits any materials for the elective course used in the common schools and prohibits any materials for the elective course.', 'This bill prohibits the use of a school library or other school library for the purpose of a school library to replace lost or damaged book or material. The bill prohibits the use of a school library or other school library for the purpose of a school library to replace lost or damaged book or material.', 'The governing boards hall approve for high schools the course of study and all units that are recommended for credit under each general subject title. The governing boards hall approve for high schools the basic textbook for each course and may purchase the textbooks from the publishers if approved by the governing board before approving any basic textbook for high schools. The governing boards hall approve for high schools the course of study and all units that are recommended for credit under each general subject title.', 'if any course does not include basic textbook the governing boards may approve all supplemental books that are used in the course before usage edif any course includes basic textbook and uses supplemental books or instructional computer software. The governing board may approve all supplemental books that are used in the course before usage fifth course includes basic textbook and uses supplemental books that have not been approved by the governing board at the time of approval of the course teacher.']"
9,AZ SB1698,"['Section arizona revised statutes is amended to read definitions in this title unless the context otherwise requires abandoned means the failure of the parent to provide reasonable support and to maintain regular contact with the child including providing normal supervision abandoned constitutes prima fa cie evidence of abandonment abuse means the infliction or allowing of physical injury impairment of bodily function or disfigurement or the infliction of orallowing another person to cause serious emotional damage as evidenced by severe anxiety depression withdrawal or untoward aggressive behavior.', 'a child is a child who is prosecuted as an adult or who is remanded for prosecution as an adult for the same offense. A child is a child who is adjudicated to be in need of proper and effective parental care and control and who has no parent or guardian willing to exercise or capable of exercising such care and control.', 'Act that would result in adjudication as delinquent juvenile or incorrigible child if committed by an older juvenile or child incompetent or not rest or able to competency does not include child who in good faith is being furnished christian science treatment by duly accredited practitioner if none of the circumstances described in this paragraph exists detention means the temporary confinement of juvenile who requires secure care in physically restricting facility that is completely enclosed by locked and physically secure barrier with restricted ingress and egress for the protection', ""a child's parent guardian or custodian of child to provide that child with supervision food clothing shelter or medical care if that inability or unwillingness causes substantial risk of harm to the child's health or welfare. a child's parent guardian or custodian of child to provide that child with supervision food clothing shelter or medical care if that inability or unwillingness causes substantial risk of harm to the child's health or welfare is solely the result of the un availability of reasonable services allowing"", ""arizona's new statutes prohibits the adoption of a zoning district ordinance to protect the public health of the public . the statutes prohibit the adoption of a zoning district ordinance to protect the public health of the public ."", 'This bill provides for the establishment of a zoning district that includes a number of zoning districts and regulations that modify regulations in another state. The bill provides for the establishment of a zoning district that includes a number of zoning districts that are designated as appropriate for various classes of residential business and industrial uses. The bill also provides for the establishment of a setback line and other plans providing for adequate light air and parking facilities.', 'zoning district with which the overlay zoning district is combined overlay zoning districts and regulations shall be adopted pursuant to section the provisions of overlay zoning shall apply retroactively to authorize overlay zoning districts and regulations adopted before april in accordance with article ii sections and constitution of arizona the boards hall consider the individual property rights and personal liberties of the residents of the county before adopting any zoning ordinance this section does not authorize the imposition of dedication sex actions fees or', 'This bill prohibits any person who is a non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non-non', 'This bill prohibits the establishment of a commercial establishment from a commercial establishment. The bill prohibits the establishment of a non-profit organization that provides a non-profit organization with a non-profit organization that provides a non-profit organization with a non-profit organization.', 'a person who is at least eighteen years of age or who has been tried as an adult and is convicted of dangerous crime against children in the first degree involving sexual assault of minor who is under twelve years of age or younger or sexual conduct with minor who is twelve years of age or younger shall be sentenced to life imprisonment and is not eligible for suspension of sentence probation pardon or release from confinement on any basis except as specifically authorized by section subsection orb until the person has served thirty five years or the sentence is commuted if the convicted of a child is at least eighteen years of age or who is a child is a child in the a . . . . . . . . . . . . . . . . . . . . . . . . . . . .', 'a person who has been previously convicted of one predicate felony shall be sentenced to term of imprisonment as follows minimum presumptive maximum years years years years g except as otherwise provided in this section . a person who is at least eighteen years of age or has been tried as an adult and is convicted of dangerous crime against children in the first degree involving aggravated assault unlawful mutilation molestation of child sexual exploitation of minor aggravated luring minor for sexual exploitation child', 'This bill prohibits the person from being released from confinement on any basis except as specifically authorized by the court. The bill prohibits the person from being released from confinement on any basis except as specifically authorized by the court.', 'a person who is at least eighteen years of age or who has been tried as an adult is guilty of class felony and is not eligible for release from confinement on any basis except as specifically authorized by section subsection orb until the person has served the sentence imposed by the court. a person who is convicted of any dangerous crime against children in the second degree is not eligible for suspension of sentence probation pardon or release from confinement on any basis except as specifically authorized by section subsection orb until the person has served the sentence ', 'felony involving child sex trafficking is a class felony except that any disclosure that is made with the consent of the person who is depicted in the image is unlawful for a person to intentionally disclose animage of another person who is identifiable from the image itself or from information displayed in connection with the image does not on its own remove the persons reasonable expectation of privacy for that image.', 'This bill prohibits the use of a computer or computer to perform a physical activity that is harmful to minors. This bill prohibits the use of a computer or computer to perform a physical activity that is harmful to minors.', 'this bill prohibits any person who has a child who is 14-15 sixteen or seventeen years of age from reporting of the communication or confession . the bill prohibits any person who has a child who is 14-15 sixteen or seventeen years of age from receiving any medical treatment or surgical care or nourishment .', 'This bill prohibits the child from being abused by a child or a child from being abused by a child or a child . the bill prohibits the child from being abused by a child or a child from being abused by a child or a child .', 'This bill prohibits the use of the records in a judicial proceeding or investigation resulting from a report required or authorized under this section. The bill prohibits the use of the records to a person who is required to receive reports pursuant to this section.', 'This bill prohibits the child welfare investigator or child safety worker from registering a psychiatric record for a child abuse physical injury or neglect. The bill prohibits the child welfare investigator or child safety worker from registering a portion of the record.', 'a person who committed the offense to register pursuant to this section may require the person who committed the offense to register pursuant to this section to terminate terminates when the person reaches twenty five years of age ea person who has been adjudicated delinquent for an act that would constitute an offense specified in this section.', 'This bill prohibits the person from registering for a school in this state for an act that would constitute an offense specified in subsection or of this section. The bill prohibits the person from registering for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for a school in this state for ', 'The person shall provide the location and number of the postoffice box or other place if the person has more than one residence and shall register as transient not less than every ninety days with the sheriff in whose jurisdiction the transient is physically present. The person shall provide description and physical location of any temporary residence and shall register as transient not less than every ninety days with the sheriff in whose jurisdiction the transient is physically present.', ""This bill requires the department of public safety to register the persons required online identifier and the name of any website or internet communication service where the identifier is being used or is intended to be used with the sheriff from and after december . the bill requires the person to pay an additional assessment of the person's eligibility for a restitution of the person's eligibility for a restitution of the person's eligibility for a restitution of the person's eligibility for a restitution of the"", 'This bill prohibits the state of the state from transferring the monies to the state treasurer. The bill prohibits the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the remits the monies to the state of the a single or permanent a person who is a . the . the . the . the . the . the . the . the . the . the . the . the . the . the . the . . . . . . . . ']"
