state_code,state_name,bill_name,keep,source,summary
AK,Alaska,SB270,1,still need,"In the context of sexual indecency with a child, the bill criminalizes any adult knowingly entering and staying in changing facilities (restroom, bathroom, locker room, or shower room) when a minor of the opposite (biological) sex is also there, with a few exceptions for parents or emergencies. The bill can be interpreted as implicitly aimed at preventing transgender individuals from using changing facilities where minors are present too."
AK,Alaska,HB27,1,still need,"The bill amends an existing regulation of school sports by specifying biological sex as the decisive factor for the designation of athletic teams and competitions, requiring public and private schools to strictly split men, women, or coeducational teams and sports. In other words, the amendment excludes transgender students from participating in school sports and athletic competitions. The bill also provides an avenue for legal action against the school by those suffering harm from a violation of this law, i.e. in the case of admitting transgender students to sports and competitions."
AK,Alaska,HB1615,1,still need,The Conscience Protection Act limits the state government’s right to impose (the least severe) restrictions on a person’s exercise of religion only when it is essential for furthering a compelling government interest. The bill’s intent is the protection of the free exercise of religious beliefs as it is meant to protect from religion-based discrimination. It provides avenues for those adversely impacted by a violation (i.e. whose whose religious exercise was “burdened”) to seek relief against the state.
AK,Alaska,HB1156,1,still need,"The bill requires public schools to ensure that students overnight in either single rooms or shared rooms with members of the same biological sex during school-sponsored/supervised trips, with the exception of immediate family members. The bill also requires multiple occupancy restrooms and changing areas in public schools and preK-12 to be designated based on biological sex (male or female) and to be exclusively used by members of that sex (determined by birth certificates). While it sets up a requirement to provide reasonable accommodation (e.g. single occupancy restroom or changing area) to any student unwilling or unable to follow this regulation, it explicitly prohibits providing access to facilities designated for the opposite biological sex. The bill imposes severe consequences for noncompliance."
AK,Alaska,SB294,0,,
AK,Alaska,SB199,1,still need,"This bill establishes healthcare professionals’ civil liability for performing a gender transition procedure on minors when it results in any physical, psychological, emotional, or physiological injury by the treatment. The bill requires a variety of strict conditions to be met for healthcare professionals to be exempt from legal liability, such as two continuous years of monitoring before any such procedure. The bill also provides a written consent form to be signed before treatments, citing studies from other countries on the perceived ineffectiveness and adverse impacts of gender transition treatments, incl. surgical procedures, puberty blockers, and cross-sex hormones. Medical procedures related to intersexual individuals, other verifiable chromosomal deviations as diagnosed by a physician, treatments of individuals in the case of conditions caused by prior gender transition procedure(s), and life-saving procedures are excluded. Gender transition procedure is defined broadly as all medical and surgical services as well as the prescription of drugs with the aim of changing physiological or anatomical characteristics that resemble a sex different from the individual's biological sex."
AK,Alaska,HB105,1,fast democracy,"This bill adds to the list of parental rights regarding their student(s) participating in activities or classes, specifically activities involving gender identity, human reproduction, or sexual matters. It directs districts to create procedures and timelines for parental notification in order for the parent to opt in to the activity or classes involving gender identity, human reproduction, or sexual matters. In addition, parental consent is required for any name change or pronoun. The bill also provides remedies for parents regarding the violation of these district policies. Additionally, this bill prohibits a school district or regional educational attendance area from selectively withholding information regarding their childs physical, medical, or mental health from parents or legal guardians unless it is determined that the information may result in child abuse or neglect. Finally, the bill requires districts to create policies and procedures to ensure the safety and privacy for students in locker rooms and restrooms by providing a separation by biological sex."
AK,Alaska,SB96,1,fast democracy,"This bill adds to the list of parental rights regarding their student(s) participating in activities or classes, specifically activities involving gender identity, human reproduction, or sexual matters. It directs districts to create procedures and timelines for parental notification in order for the parent to opt in to the activity or classes involving gender identity, human reproduction, or sexual matters. In addition, parental consent is required for any name change or pronoun. The bill also provides remedies for parents regarding the violation of these district policies. Additionally, this bill prohibits a school district or regional educational attendance area from selectively withholding information regarding their childs physical, medical, or mental health from parents or legal guardians unless it is determined that the information may result in child abuse or neglect. Finally, the bill requires districts to create policies and procedures to ensure the safety and privacy for students in locker rooms and restrooms by providing a separation by biological sex."
AK,Alaska,HB1468,1,still need,"The Given Name Act, aimed against transgender students, regulates the use of preferred pronouns and names in public and state-funded educational institutions. It prohibits educational staff from addressing a student by a pronoun or name inconsistent with their biological sex and name on their birth certificate, unless written permission was provided by the minor’s parent or guardian. The bill also prohibits any adverse employment or disciplinary action for declining to use preferred pronouns and names, and provides a legal avenue to seek relief for any violations of this part of the bill."
AK,Alaska,SB125,1,still need,"The bill amends a freedom of speech law at state-supported higher education institutions, aimed at protecting the first amendment rights of students and members of campus communities. It requires state-supported institutions of higher education to implement a policy that ensures the protection of these rights and provides a procedure for any related grievances of members of the campus community."
AK,Alaska,SB43,1,still need,"The bill, likely aimed at drag shows, amends an existing law restricting adult-oriented businesses by expanding the definition of adult-oriented performances. The amendment prohibits any performance that features (semi-)nudity, exposure of specific body parts, and sexual activity on public property. It also prohibits the admission of minors to such performances and the provision of public funds for such performances."
AR,Arkansas,HB1156,1,https://arkansasadvocate.com/2023/03/13/proposed-law-restricting-school-bathroom-use-will-return-to-arkansas-house/,"This bill would apply to multiple-occupancy restrooms and locker rooms, as well as rooms for students on overnight trips. It also requires schools to “provide a reasonable accommodation” to anyone “unwilling or unable to use a multiple occupancy restroom or changing area” based on their biological sex, such as a single-occupancy gender-neutral restroom."
AR,Arkansas,SB199,0,,
AR,Arkansas,HB1615,1,https://forarpeople.org/bill-would-allow-faith-groups-to-discriminate-then-sue-the-state/,"This bill ensures that faith-based adoption and foster-care providers remain free to serve children in need and work with the state to find loving, permanent homes for children. This bill also prohibits the government from discriminating against certain individuals and organizations because of their beliefs regarding marriage or what it means to be female and male. The bill additionally ensures that individuals and organizations cannot be compelled, either by the government or through a lawsuit initiated by a private party, to engage in conduct that conflicts with their beliefs, or be punished or discriminated against for declining to engage in conduct that conflicts with their beliefs. For example, this bill would allow a faith-based adoption organization to legally deny gay couples service. If the state revokes the group’s license because the group denied a gay couple child placement, the group can sue the state per this legislation. "
AR,Arkansas,SB270,1,https://www.axios.com/local/nw-arkansas/2023/03/08/arkansas-senate-passes-bathroom-bill,"This bill criminalizes transgender people using public restrooms in some cases by defining ""sex"" as a person's biological sex determined by anatomy and genetics at birth. The bill would make it a crime for a man or transgender woman to enter and remain in a women's restroom when they knew a female child was present. The same applies for a woman or transgender man in a men's room with a male child present. Public changing facilities are defined as restrooms, locker or shower rooms but do not include a designated dressing area at a store where clothing is sold. A person violating the law could be charged with a misdemeanor. The bill allows exceptions for a parent or caretaker with a child of the opposite sex and under age 7, for janitorial services of the room, and for medical assistance or law enforcement escorting a person in custody."
AR,Arkansas,SB43,1,https://arktimes.com/arkansas-blog/2023/02/03/no-longer-specifically-anti-drag-but-still-a-drag-sb43-now-targets-seminude-displays,"This bill reworks the state’s definition of adult-oriented businesses by lassoing in nude and seminude performances that expose genitalia or breasts either real or prosthetic, or that depict sexual activity. The bill keeps anyone under 18 from viewing these performances, and bans these shows from happening on public property or with public funds."
AR,Arkansas,SB125,1,https://www.ualrpublicradio.org/local-regional-news/2023-02-01/lawmaker-pulls-bill-expanding-free-speech-protections-on-college-campuses,"This bill prohibits colleges from regulating free speech in indoor areas on campus, including classrooms and hallways, in addition to the outdoor areas."
