,text,summary,title
700,section the legislature finds that the decision to pursue gender reassignment surgery to address  disc or dance between an individuals sex and sense of identity should not be performed on minors who are incapable of comprehending the negative implications and life altering difficulties attending to these procedures and s  no s official s page ens kr  that minors are unable to fully appreciate the risks and life implications including permanent sterility that result from surgical procedures therefore it is the intent of the mississippi legislature through this act and any regulations and policies promulgated under it to protect minors from gender reassignment surgery section for the purpose of this act the following terms shall have the meaning ascribed to them here in unless the context clearly indicates otherwise gender reassignment surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individuals biological sex in order to in still or create physiological or anatomical characteristics that resemble sex different from the individuals biological sex including without limitation genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with gender transition gender reassignment surgery may include but is not limited to the following procedures mastectomy or ii  surgery that sterilizes including castration vasectomy hysterectomy s  no s official s page ens kr no oph or ectomy metoidioplasty an orchiectomy penectomy phalloplasty and vaginoplasty gender transition means the process in which person goes from identifying with and living as  gender that corresponds to his or her biological sex to identifying with and living as  gender different from his or her biological sex and may involve social legal or physical changes medical professional means any physician surgeon physician assistant nurse clinical nurse specialist nurse practitioner anesthetist psychiatrist or medical assistant licensed under mississippi law minor means any child below the age of twenty one sex means the biological state of being female or male based on sex organs chromosomes and endogenous hormone profiles section person is guilty of performing  gender reassignment surgery upon  minor if he purposely knowingly or recklessly performs attempts to perform or causes to be,This bill prohibits gender reassignment surgery from being performed upon a minor and criminalizes any person that performs a gender reassignment surgery upon a minor for the purpose of assisting a minor with a gender transition. This bill provides that the performance of a gender reassignment surgery upon a minor by a medical professional shall be unprofessional conduct and requires a medical professional's licensing or certifying board to revoke the licensure of the medical professional if it was determined that a gender reassignment surgery was performed upon a minor. The bill provides a civil penalty for any medical professional who performs a gender reassignment surgery upon a minor,MS SB2770
260,notify the principal or his or her design ee regarding concerns under this subsection  this or her students school and the process for resolving those concerns within seven calendar days after notification by the parent the procedures must require that within thirty days after notification by the parent that  bh mia page hb no the concern remains unresolved the department must either resolve the concern or provide  statement of the reasons for not resolving the concern if  concern is not resolved by the department parent may request the superintendent to appoint  special magistrate who is  member of the hawaii bar in good standing and who has atleast five years experience in administrative law the special magistrates hall determine facts relating to the dispute over the department procedure or practice consider information provided by the department and render  recommended decision for resolution to the board within thirty days after receipt of the request by the parent the board must approve or reject the recommended decision at its next regularly scheduled meeting that is more than seven calendar days and no more than thirty days after the date the recommended decision is transmitted the costs of the special magistrates hall be borne by the department the board fib  mia ui ui lih   ili iiii           lu nn page hb no od shall adopt rules including forms necessary to implement this sub paragraph bring an action against the department to obtain declaratory judgment that the department procedure or practice violates this subsection and seek injunctive relief  court may award damages and shall award reasonable attorney fees and court costs to  parent who receives declaratory or injunctive relief the boards hall adopt policies to notify parents of the procedures required under this subsection nothing contained in this subsections hall be construed to  bridge or alter rights of action or remedies inequity already existing under the common law or general law section by june the department shall review and update as necessary school counseling frameworks and standards educator practices and professional conduct principles and any other student services personnel guidelines standards or frameworks in accordance with the requirements of this act section this acts hall take effect july bh mia page hb noo rbr mia ii  in in    iiii iiii  iiii     in ii introduced by jan,This bill bans instruction related to sexual orientation and gender identity in public schools and establishes new parental rights regarding health services and records. This bill establishes the parental right to sue and receive damages if schools fail to adhere to new provisions.,HI HB509
599,negative psychological and physical effects of not abstaining teaches the harmful consequences to the child the childs parents and society that bearing children out of wedlock is likely to produce including the health educational financial and other difficulties the child and his or her parents are likely to face as well as the inappropriateness of the social and economic burden placed on others teaches that unwanted sexual advances are irresponsible and teaches how to reject sexual advances and how alcohol and drug use increases vulnerability to sexual advances teaches that abstinence from sexual activity before marriage and fidelity within marriage is the only certain way to avoid out of wedlock pregnancy sexually transmitted diseases and related health problems the instruction or program may include discussion on condoms or contraceptives but only if that discussion includes  factual presentation of the risks and failure rates of those contraceptives in no cases hall the instruction or program include any demonstration of how condoms or other contraceptives are applied hb no hr official hr page dj kw st families rights and resp on sib li ties act of enact  teaches the current state law related to sexual conduct including forcible rape statutory rape paternity establishment child support and homosexual activity and teaches that  mutually faithful monogamous relationship in the context of marriage is the only appropriate setting for sexual intercourse program or instruction on sex related education need not include every component listed in subsection of this section for abstinence only education however no program or instruction under an abstinence only curriculum may include anything that contradicts the excluded components for purposes of this section abstinence plus education includes every component listed under subsection of this section that is age and grade appropriate in addition to any other programmatic or instructional component approved by the department which shall not include instruction and demonstrations on the application and use of condoms abstinence plus education may discuss other contraceptives the nature causes and effects of sexually transmitted diseases or the prevention of sexually transmitted diseases including hiv aids along with  factual presentation of the risks and failure rates any course containing sex related education offered in the public schools shall include instruction in either abstinence only or abstinence plus education hb no hr official hr page dj kw st families rights and resp on sib li ties act of,"This bill establishes the ""families' rights and responsibilities act of 2023"" to establish that a parent's liberty to direct the upbringing, education, health care and mental health of his or her child is a fundamental right. The bill prohibits the state or any political subdivision thereof from substantially burdening a parent's fundamental right without demonstrating that the burden is required by a compelling governmental interest. The bill provides that all parental rights are exclusively reserved to a parent of a child without obstruction by or interference from the state or any political subdivision thereof. The bill also provides that abuse or neglect of a child by a parent or the action or decision of a parent that would end life are not authorized by this act. The bill prohibits employees of this state and any political subdivision thereof, except for law enforcement personnel, from encouraging or coercing a child to withhold information from the child's parent. The bill further prohibits such employees from withholding information that is relevant to a child's physical, emotional or mental health from a child's parent",MS HB509
923,and arrest information from the central repository of the criminal justice information network and all applicable databases the clerk of the courts hall send  certified copy of the order to the department of justice for immediate action and the department shall carryout the order and notify the federal bureau of investigation the department of corrections and any other criminal justice agency that may have  record of the conviction and arrest the department of justice shall provide confirmation of the action to the court if  certificate of innocence and an order of expunge ment are entered the claimant must be treated as not having been arrested or convicted of the crime or crimes to which the certificate of innocence applies upon entry of  certificate of innocence the courts hall order the expunge ment and destruction of any associated biological samples from the claimant the order must state the information required to be expunged and destroyed ii the courts hall seal all district court records regarding the conviction the district court records are only available upon  good cause finding by the court the clerk of the courts hall send  certified copy of the order to the department of justice which must carryout the order and provide confirmation of the action to the court the department is not required to expunge and destroy any samples record associated with the claimant related to an offense other than the offense or offenses for which the court has entered certificate of innocence the decision to grant or deny  certificate of innocence does not have are  judi cat  effect on any other criminal proceedings involving the claimant terminates june sec ch section section mca is amended to read freedom from discrimination the right to be free from discrimination because of race creed religion color sex as defined in physical or mental disability age or national origin is recognized as and declared to be  civil right this right must include but not be limited to th legislature authorized print version the right to obtain and hold employment without discrimination and the right to the full enjoyment of any of the accommodation facilities or privileges of anyplace of public resort accommodation assemblage or amusement this section does not prevent the non arbitrary consideration in adoption proceedings of relevant information concerning the factors listed in subsection consideration of religious factors by licensed child placing agency that is affiliated with  particular religious faith is not arbitrary consideration of religion within the meaning of this section section section mca is amended to read definitions as used in this chapter unless the context requires otherwise the following definitions apply age means number of years since birth it does not mean level of maturity or ability to handle,This bill defines sex in Montana law as based on reproductive systems designated at birth and restricts student athletic teams in public schools or public institutions of higher education to their designated sex.,MT SB458
1351,section section is amended to read chapter healthcare administration and assistance part healthcare assistance definitions reserved as used in this chapter applicant means any person who requests assistance under the medical programs of the state cms means the centers for medicare and medicaid services within the united states department of health and human services division means the division of integrated healthcare within the department established under section enrol lee or member means an individual whom the department has determined to be eligible for assistance under the medicaid program medicaid program means the state program for medical assistance for persons enrolled copy who are eligible under the state plan adopted pursuant to title xix of the federal social security act medical assistance means services furnished or payments made to or on behalf of member passenger vehicle means  self propelled two axle vehicle intended primarily for operation on highways and used by an applicant or recipient to meet basic transportation needs and has  fair market value below of the applicable amount of the federal luxury passenger automobile tax established in us csec and adjusted annually for inflation passenger vehicle does not include commercial vehicle as defined in section ii an off highway vehicle as defined in section or motor home as defined in section paca means the same as that term is defined in section recipient means  person who has received medical assistance under the medicaid program section section which is renumbered from section is renumbered and amended to read division creation there is created within the department the division of medicaid and health financing integrated healthcare which shall be responsible for implementing organizing and maintaining the medicaid program and the childrens health insurance program established in section in accordance with the provisions of this chapter and applicable federal law section section which is renumbered from section is renumbered and amended to read state medicaid director appointment enrolled copy responsibilities the state medicaid director shall be appointed by the governor after consultation with the executive director with the advice and consent of the senate the state medicaid director may employ other employees as necessary to implement the provisions of this chapter and shall administer the responsibilities of the division asset forth in this chapter bad minister the divisions budget and establish and maintain  state plan for the medicaid program in compliance with federal law and regulations section section which is renumbered from section is renumbered and amended to read division responsibilities emphasis periodic assessment in accordance with the requirements of title xix of the social security act and applicable federal regulations the division is responsible for the effective and impartial administration of this chapter in an efficient economical manner the division shall,"This bill recodifies provisions regarding health care administration and assistance and vital statistics, health data, and the Utah Medical Examiner. The bill also makes technical and corresponding changes.",UT SB39
1160,teacher school administrator or other school employee who suspects or knows that  student suffers from gender dys  horia gender identity disorder or other psychological conditions that can result in  person identifying with  gender different than that of their sex as defined in section must notify the students parent or legal guardian section this act takes effect three months after approval by the governor xxs km do cx,"THIS BILL DEFINES GENDER, SEX, AND OTHER TERMS SO AS TO PROHIBIT THE PROVISION OF GENDER TRANSITION PROCEDURES TO A PERSON UNDER EIGHTEEN YEARS OF AGE. THE BILL PROVIDES EXCEPTIONS AND ADDITIONALLY PROHIBITS THE USE OF PUBLIC FUNDS FOR GENDER TRANSITION PROCEDURES. THE BILL ALSO PROHIBITS SCHOOL STAFF AND OFFICIALS FROM WITHHOLDING KNOWLEDGE OF A MINOR'S PERCEPTION OF THEIR GENDER FROM THE MINOR'S PARENTS.",SC S627
1198,applicants to ascribe to dei ideologies or discriminate against applicants who do not ascribe to dei ideologies during the application processor admitted students to study or ascribe to dei ideologies within the students medical institution of higher education ba medical institution of higher education shall publish the titles and syllabi of all mandatory courses seminars classes workshops and training sessions on the institutions website in an online database that is readily searchable by the public ca medical institution of higher education shall not conduct internal dei audits or otherwise engaged ei consultants section medical institutions of higher education shall require  standardized admissions test focused on knowledge and critical thinking around science and medical training as  requirement for admission  before  medical institution of higher education may alter the academic standards for the admission of new students to  healthcare related course of study or for the confer ral of  healthcare related degree or certificate the medical institution of higher education shall submit to the speaker of the senate the speaker of the house of representatives and the tennessee higher education commission copy of the proposed academic standards concise general statement explaining the proposed standards and the proposed effective date of the proposed standards  the proposed standards described in subdivision become effective no earlier than sixty days after the medical institution of higher education has complied with subsection bd the proposed standards described in subdivision do not become effective if within sixty days of receiving the information required in subdivision the general assembly passes and the governor approves  joint resolution expressly disapproving the proposed standards if such  resolution is passed and approved then the proposed standards are null and void and of no effect section healthcare related professional licensing boards shall not adopt or impose as  condition of obtaining or renewing licenses any incentives or requirements that applicants forli censures undergo demonstrate familiarity with or support any dei training education material or program  organizations that issue state required healthcare related professional licenses and certifications shall not used ei material or required ei training as part of the certification process  healthcare related professional licensing boards and organizations that issue healthcare related professional licenses and certifications shall not conduct internal dei audits or otherwise engaged ei consultants section all medical providers and medical institutions of higher education shall certify to the state board of medical examiners on an annual basis by december that they do not and will not require their employees contractors volunteers vendors or agents to ascribe to study or be instructed with dei material with respect to state funds section,"This bill prohibits public institutions of higher education offering certain medical and health-related degree or certificate programs, and state contractors, from requiring diversity, equity, and inclusion training and education for purposes of the issuance of a degree, or the approval of a state contract or grant, as applicable. ",TN HB571
602,deemed abuse under this section abused child also means child who is or has been trafficked within the meaning of the mississippi human trafficking act by any person without regard to the relationship of the person to the child sexual abuse means obscene or pornographic photographing filming or depiction of children for commercial purposes or the rape molestation incest prostitution or other such forms of sexual exploitation of children under circumstances which indicate that the childs health or welfare is harmed or threatened hb no hr official hr page dj kw st families rights and resp on sib li ties act of enact   child in need of special care means  child with any mental or physical illness that cannot be treated with the disposition al alternatives ordinarily available to the youth court pa dependent child means any child who is not child in need of supervision  delinquent child an abused child or  neglected child and which child has been voluntarily placed in the custody of the department of child protection services by his parent guardian or custodian custody means the physical possession of the child by any person legal custody means the legal status created by court order which gives the legal custodian the responsibilities of physical possession of the child and the duty to provide him with food shelter education and reasonable medical care all subject to residual rights and responsibilities of the parent or guardian of the person s detention means the care of children in physically restrictive facilities shelter means care of children in physically nonrestrictive facilities records involving children means any of the following from which the child can be identified all youth court records as defined in section hb no hr official hr page dj kw st families rights and resp on sib li ties act of enact ii all forensic interviews conducted by  child advocacy center in abuse and neglect investigations all law enforcement records as defined in section iv all agency records as defined in section and vall other documents maintained by any representative of the state county municipality or other public agency insofar as they relate to the apprehension custody adjudication or disposition of  child who is the subject of youth court cause any person responsible for care or support means the person who is providing for the child at  given time this terms hall include but is not limited to stepparents foster,"This bill establishes the ""families' rights and responsibilities act of 2023"" to establish that a parent's liberty to direct the upbringing, education, health care and mental health of his or her child is a fundamental right. The bill prohibits the state or any political subdivision thereof from substantially burdening a parent's fundamental right without demonstrating that the burden is required by a compelling governmental interest. The bill provides that all parental rights are exclusively reserved to a parent of a child without obstruction by or interference from the state or any political subdivision thereof. The bill also provides that abuse or neglect of a child by a parent or the action or decision of a parent that would end life are not authorized by this act. The bill prohibits employees of this state and any political subdivision thereof, except for law enforcement personnel, from encouraging or coercing a child to withhold information from the child's parent. The bill further prohibits such employees from withholding information that is relevant to a child's physical, emotional or mental health from a child's parent",MS HB509
589,the receipt distribution allotment and disbursement of all funds provided for the support and operation of the schools of such school district whether such funds be derived from state appropriations local adv  lorem tax collections or otherwise the local school boards hall be authorized and empowered to promulgate rules and regulations that specify the types of claims and set limits of the dollar amount for payment of claims by the superintendent of schools to be ratified by the board at the next regularly scheduled meeting after payment has been made to select all school district personnel in the manner provided by law and to provide for such employee fringe benefit programs including accident reimbursement plans as may be deemed necessary and appropriate by the board to provide athletic programs and other school activities and to regulate the establishment and operation of such programs and activities to join in their discretion any association of school boards and other public school related organizations and to pay from local funds other than minimum foundation funds any membership dues hb no hr official hr page dj kw st families rights and resp on sib li ties act of enacts to expend local school activity funds or other available school district funds other than minimum education program funds for the purposes prescribed under this paragraph activity funds shall mean all funds received by school officials in all school districts paid or collected to participate in any school activity such activity being part of the school program and partially financed with public funds or supplemented by public funds the term activity funds shall not include any funds raised and or expended by any organization unless commingled in bank account with existing activity funds regardless of whether the funds were raised by school employees or received by school employees during school hours or using school facilities and regardless of whether  school employee exercises influence over the expenditure or disposition of such funds organizations shall not be required to make any payment to any school for the use of any school facility if in the discretion of the local school governing board the organizations functions hall be deemed to be beneficial to the official or extracurricular programs of the school for the purposes of this provision the term organizations hall not include any organization subject to the control of the local school governing board activity funds may only be expended for any necessary expenses or travel costs including advances incurred by students and their chaperons in attending any in state or out of state school related programs conventions or seminars and or any commodities equipment travel hb no hr official hr page,"This bill establishes the ""families' rights and responsibilities act of 2023"" to establish that a parent's liberty to direct the upbringing, education, health care and mental health of his or her child is a fundamental right. The bill prohibits the state or any political subdivision thereof from substantially burdening a parent's fundamental right without demonstrating that the burden is required by a compelling governmental interest. The bill provides that all parental rights are exclusively reserved to a parent of a child without obstruction by or interference from the state or any political subdivision thereof. The bill also provides that abuse or neglect of a child by a parent or the action or decision of a parent that would end life are not authorized by this act. The bill prohibits employees of this state and any political subdivision thereof, except for law enforcement personnel, from encouraging or coercing a child to withhold information from the child's parent. The bill further prohibits such employees from withholding information that is relevant to a child's physical, emotional or mental health from a child's parent",MS HB509
1427,the intergovernmental transfer is apportioned between the non state government hospitals as follows the state teaching hospitals hall pay for the portion of the hospital share described in section and non state government hospitals shall pay for the portion of the hospital share described in section the department shall by rule made in accordance with title g chapter utah administrative rule making act designate the method of calculating the amounts designated in subsection and the schedule for the intergovernmental transfers section section which is renumbered from section is renumbered and amended to read penalties hospital that fails to pay  quarterly assessment make the mandated intergovernmental transfer or file  return as required under this chapter part within the time required by this chapter parts hall pay penalties described in this section in addition to the assessment or intergovernmental transfer if  hospital fails to timely pay the full amount of  quarterly assessment or the mandated intergovernmental transfer the department shall add to the assessment or intergovernmental transfer penalty equal to of the quarterly amount not paid on or before the due date enrolled copy and bon the last day of each quarter after the due date until the assessed amount and the penalty imposed under subsection are paid in full an additional penalty on any unpaid quarterly assessment or intergovernmental transfer and ii any unpaid penalty assessment upon making  record of the divisions actions and upon reasonable cause shown the division may waive or reduce any of the penalties imposed under this chapter part section section which is renumbered from section is renumbered and amended to read hospital reimbursement if the qualified medicaid expansion is implemented by contracting with  medicaid accountable care organization the department shall to the extent allowed by law include in contract to provide benefits under the qualified medicaid expansion  requirement that the accountable care organization reimburse hospitals in the accountable care organizations provider network at no less than the medicaid fee for service rate if the qualified medicaid expansion is implemented by the department as fee for service program the department shall reimburse hospitals at no less than the medicaid fee for service rate nothing in this section prohibits the department or  medicaid accountable care organization from paying  rate that exceeds the medicaid fee for service rate section section which is renumbered from section is renumbered and amended to read hospital financing of the hospital share for the first two full fiscal years that the assessment is in effect the department shall assess private hospitals under this chapter part for of the hospital share require the state teaching hospital to make an intergovernmental transfer under this enrolled copy chapter part for of the hospital share and,"This bill recodifies provisions regarding health care administration and assistance and vital statistics, health data, and the Utah Medical Examiner. The bill also makes technical and corresponding changes.",UT SB39
