text,summary,title,dataset_type,model_summary,rouge-1.r,rouge-1.p,rouge-1.f,rouge-2.r,rouge-2.p,rouge-2.f,rouge-l.r,rouge-l.p,rouge-l.f
section tennessee code annotated title is amended by adding the following as new chapter short title this chapter is known and maybe cited as the families rights and responsibilities act chapter definitions for purposes of this chapter child means an individual under eighteen years of age parent means biological parent of child an adoptive parent of child or an individual who has been granted right and authority over the welfare of child understate law and substantial burden means an action that directly or indirectly constrains inhibits curtails or denies the right of parent to direct the upbringing education healthcare and mental health of that parents child or compels an action contrary to the right of parent to direct the upbringing education healthcare and mental health of that parents child and includes but is not limited to the withholding of benefits assessment of criminal civil or administrative penalties or damages or exclusion from governmental programs fundamental rights of parents the liberty of parent to direct the upbringing education healthcare and mental health of that parents child is fundamental right this state political subdivision of this state or another governmental entity shall not substantially burden the fundamental right of parent to direct the upbringing education healthcare and mental health of that parents child without demonstrating that the burden is required by compelling governmental interest of the highest order as applied to the parent and the child and is the least restrictive means of furthering that compelling governmental interest parental rights and responsibilities all parental rights are exclusively reserved to parent of child without obstruction by or interference from this state political subdivision of this state another governmental entity or any other institution including without limitation the following rights and responsibilities to direct the education of the child including the right to choose public private religious or home schools and the right to make reasonable choices within public schools for the education of the child to access and review all school records relating to the child to direct the upbringing of the child to direct the moral or religious training of the child to make and consent in writing to all physical and mental healthcare decisions for the child to access and review all medical records of the child to consent in writing before biometrics can of the child is made shared or stored to consent in writing before record of the childs blood or deoxyribonucleic acid dna is created stored or shared unless authorized pursuant to court order to consent in writing before governmental entity makes video or voice recording of the child unless the video or voice recording is made during or as apart of court proceeding ba law enforcement investigation ca forensic interview in criminal or department of childrens services investigation the security or surveillance of buildings or ground sore photo identification card and to be notified promptly if an employee of this state political subdivision of this state another governmental entity or any other institution suspects that abuse neglect or criminal offense has been committed against the child by someone other than parent unless the incident has first been reported to law enforcement and notification of the parent would impede law enforcement or department of childrens services investigation this chapter does not authorize or allow parent to abuse or neglect child apply to parental action or decision that would end life or prohibit court from issuing an order that is otherwise permitted by law can employee of this state political subdivision of this state or another governmental entity except for law enforcement personnel shall not encourage or coerce child to withhold information from the childs parent such employees hall not withhold from childs parent information that is relevant to the physical emotional or mental health of the child engaging in conduct prohibited by this subsection is grounds for discipline of the employee by the employer in addition to any,"This bill enacts the ""Families' Rights and Responsibilities Act,"" which declares that the ability of a parent to direct the upbringing, education, health care, and mental health of that parent’s child is a fundamental right. ",TN HB1414,train,the families rights and responsibilities act chapter definitions for purposes of this chapter child means an individual under eighteen years of age parent means biological parent of child an adoptive parent of child or an individual who has been granted right and authority over the welfare of child understate law . substantial burden means an action that directly or indirectly constrains curtails or denies the right of parent to direct the upbringing education healthcare and mental health of that parents child . includes but is not limited to the withholding of benefits assessment of criminal civil or administrative penalties,0.41379310344827586,0.19047619047619047,0.2608695609002836,0.2,0.07692307692307693,0.11111110709876558,0.3793103448275862,0.1746031746031746,0.23913043046550103
section short title this act maybe cited as the save womens sports act section section texas education code is amended to read as follows sec interscholastic athletic competition participation based on biological sex an interscholastic athletic team or sport sponsored or authorized by school district or open enrollment charter school or any private school that competes against public school may not allow student to compete participate in an interscholastic athletic competition team or sport sponsored or authorized by the district or school that is designated for the biological sex opposite to the students biological sex as correctly stated on s official birth certificate as described by subsection or s official birth certificate described by subdivision another government record that accurately states the students biological sex,This bill extends the anti-transgender sports ban to collegiate levels and expands the ban itself to include banning trans youth from sports participation (in addition to competition).        ,TX HB23,test,section short title this act may be cited as the save womens sports act section section texas education code is amended to read as follows sec interscholastic athletic competition participation based on biological sex an interscholastic athletic team or sport sponsored or authorized by school district or open enrollment charter school or any private school that competes against public school may not allow student to compete participate in an interscholastic athletic competition team or sport sponsored or authorized by the district or school that is designated for the biological sex opposite to the,0.17391304347826086,0.07017543859649122,0.09999999590312517,0.0,0.0,0.0,0.17391304347826086,0.07017543859649122,0.09999999590312517
section arkansas code title chapter sub chapter is amended to add an additional section to read as follows given name act protection against compelled speech this sections hall be known and maybe cited as the given name act as engrossed nl the general assembly finds that faculty members teachers and employees of public schools and state supported institutions of higher education do not shed their constitutional rights to freedom of speech or expression at work protecting the right to free speech for faculty members teachers and employees promotes three important interests which include students interests in receiving informed opinions on matters of public concern faculty members teachers and employees rights to disseminate their own opinions and the public interest in exposing our children and future leaders to different viewpoints and the selection and use of pronouns in classrooms on campuses and elsewhere is matter of free speech and academic freedom because it communicates message on matter of public concern and shapes classroom discussions and debates and is not merely an administrative or ministerial act by faculty members teachers and employees of public schools and state supported institutions of higher education cas used in this section school includes public school or school district an open enrollment public charter school and state supported institution of higher education da faculty member teacher or other employee of school regardless of the scope of his or her official duties shall not address nun emancipated minor or student with pronoun or title that is inconsistent with the un emancipated minors or students biological sex unless the faculty member teacher or other employee of school has the written permission of the un emancipated minors or students parent legal guardian or person standing in loco parent is to the un emancipated minor or student if the un emancipated minor or student is under eighteen years of age or name other than the name listed on the un emancipated minors or students birth certificate or derivative of the name listed on the un emancipated minors or students birth certificate without the written permission of the un emancipated minors or students parent legal guardian as engrossed nl or person standing in loco parent is to the un emancipated minor or student if the un emancipated minor or student is under eighteen years of age and notwithstanding subdivision of this sections hall not be subject to adverse employment action for declining to address person using name other than the name listed on the persons birth certificate or pronoun or title that is inconsistent with the persons biological sex ea students hall not be subject to any disciplinary action for declining to address person using name other than the name listed on the persons birth certificate or pronoun or title that is inconsistent with the persons biological sex fa person who is harmed by violation of this section may bring cause of action for injunctive relief monetary damages reasonable attorneys fees and costs and any other appropriate relief s long,"This bill prohibits requiring employees of public schools and state-supported institutions of higher education to use a person's preferred pronoun, name, or title without parental consent.",AR HB1468,train,the general assembly finds that faculty members teachers and employees of public schools and state supported institutions of higher education do not shed their constitutional rights to free speech . the given name act protects the right to free speech for faculty members teachers and employees . the general assembly finds that faculty members teachers and employees of public schools and state supported institutions of higher education do not shed their constitutional rights to free speech .,0.36,0.2727272727272727,0.3103448226813318,0.28,0.1794871794871795,0.21874999523925792,0.36,0.2727272727272727,0.3103448226813318
that the code of virginia is amended by adding in title chapter numbered consisting of sections numbered through and by adding section numbered as follows chapter save adolescents from experimentation safe act definitions as used in this chapter unless the context requires different meaning biological sex means the biological indication of male and female in the context of reproductive potential or capacity such as sex chromosomes naturally occurring sex hormones gonads and non ambiguous internal and external genitalia present at birth without regard to an individuals psychological chosen or subjective experience of gender cross sex hormones means testosterone or other androgens given to biological females in amounts that are larger or more potent than would normally occur naturally in healthy biological sex females and estrogen given to biological males in amounts that are larger or more potent than would normally occur naturally in healthy biological sex males gender means the psychological behavioral social and cultural aspects of being male or female gender reassignment surgery means any medical or surgical service that seeks to surgically alter or remove healthy physical or anatomical characteristics or features that are typical for the individuals biological sex in order to in still or create physiological or anatomical characteristics that resemble sex different from the individuals biological sex including without limitation genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with gender transition gender transition means the process in which an individual goes from identifying with and living as gender that corresponds to the individuals biological sex to identifying with and living as gender different from his or her biological sex which process may involve social legal or physical changes gender transition procedure means any medical or surgical service including without limitation physicians services inpatient and outpatient hospital services or prescribed drugs related to gender transition that seeks to alter or remove physical or anatomical characteristics or features that are typical for an individuals biological sex or in still or create physiological or anatomical characteristics that resemble sex different from an individuals biological sex including without limitation medical services that provide puberty blocking drugs cross sex hormones or other mechanisms to promote the development of fe mini zing or masculin zing features in the opposite biological sex or ii genital or non genital gender reassignment surgery performed for the purpose of assisting an individual with gender transition gender transition procedure does not include services to individuals born with medically verifiable disorder of sex development including an individual with external biological sex characteristics that are ir reso lv ably ambiguous such as person born with xx with virilization with xy with under virilization or having both ovarian and testicular tissue services provided when physician has otherwise diagnosed disorder of sexual development or the physician has determined through genetic or biochemical testing that an individual does not have normal sex chromosome structure sex steroid hormone production or sex steroid hormone action the treatment of any infection injury disease or disorder that has been caused by or exacerbated by the performance of gender transition procedures whether or not the gender transition procedure was introduced of performed in accordance with state and federal law or whether or not funding for the gender transition procedure is permissible under this chapter or any procedure undertaken because the individual suffers from physical disorder physical injury or physical illness that would as certified by physician place the individual in imminent danger of death or impairment of major bodily function unless surgery is performed genital gender reassignment surgery means medical procedure performed for the purpose of assisting an individual with gender transition including without limitation surgical procedures such as penectomy orchiectomy vaginoplasty clitoroplasty orvulvoplasty for biologically male patients or hysterectomy oro oph or ectomy for biologically female patients reconstruction of the fixed part of the urethra with or without metoidioplasty or phalloplasty vaginectomy scrotoplasty or implantation of erection or,"This bill establishes the Save Adolescents from Experimentation (SAFE) Act and creates the Save Adolescents from Experimentation (SAFE) Act, which prohibits gender transition procedures, defined in the bill, for individuals younger than 18 years of age and prohibits the use of public funds for gender transition procedures for individuals younger than 18 years of age. The bill establishes enforcement procedures for violations of the SAFE Act. The bill provides that a health benefit plan providing health care coverage in the Commonwealth is prohibited from providing coverage for gender transition procedures for individuals younger than 18 years of age and is not required to provide coverage for gender transition procedures for individuals 18 years of age or older.",VA SB791,train,the code of virginia is amended by adding in title chapter numbered consisting of sections numbered through and by adding section numbered as follows . the code of virginia is amended by adding in title chapter numbered consisting of sections numbered through and by adding section numbered as follows . the code of virginia is amended by adding in title chapter numbered consisting of sections numbered through and by adding section numbered as follows .,0.09090909090909091,0.2631578947368421,0.13513513131848076,0.0,0.0,0.0,0.09090909090909091,0.2631578947368421,0.13513513131848076
section section is enacted to read parental right to student information enrolled copy as used in this section education record means the same as that term is defined in section gender identity means the same as that term is defined in section parent means parent or legal guardian with legal custody of the child in question sex means the biological physical condition of being male or female determined by an individuals genetics and anatomy at birth in accordance with section each school and each local governing board shall ensure that no policy or action of the school or lea except as provided in subsection operates to shield students education record from the students parent and interferes with parents fundamental parental right and primary responsibility to direct the education of the parents child and ii freedom of access to information regarding the parents child notwithstanding any other provision of law school or lea may not prohibit parent of child from accessing the childs education record or without written parental consent make changes to students education record regarding students gender identity that does not conform with the students sex section effective date if approved by two thirds of all the members elected to each house this bill takes effect upon approval by the governor or the day following the constitutional time limit of utah constitution article vii section without the governors signature or in the case of veto the date of veto override,This bill requires each school and each local governing board to ensure a parent's right to access the education record of the parent's child; and prohibits a school or local education agency from prohibiting a parent's access to the education record of the parent's child.,UT SB100,train,section section is enacted to read parental right to student information enrolled copy as used in this section education record means the same as that term is defined in section gender identity means the same as that term is defined in section parent means parent or legal guardian with legal custody of the child in question sex means the biological physical condition of being male or female determined by an individuals genetics and anatomy at birth . the school or lea may not prohibit parent of child from accessing the childs education record or without written parental consent make changes to,0.4230769230769231,0.1746031746031746,0.24719100710011369,0.10526315789473684,0.045454545454545456,0.06349205927941574,0.38461538461538464,0.15873015873015872,0.22471909698775408
section subsection is added to section florida statutes to read system wide definitions as used in the florida early learning education code sex means the classification of human person as being either male or female based on the organization of the body of such person for specific reproductive role as indicated by the persons sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth section section florida statutes is created to read personal titles it shall be the policy of every public educational institution that is provided or authorized by the constitution and laws of florida that persons sex is an immutable biological trait and that it is false to ascribe to person pronoun that does not correspond to such persons sex for purposes of this section sex shall have the same meaning as florida senate cs for page of coding words stricken are deletions words underlined are additions in no employee contractor or student of public educational institutions hall be required as condition of employment enrollment or participation in any program to refer to another person using preferred personal title or pronoun that does not correspond to that persons sex no employee or contractor at public educational institution may provide to students his or her preferred personal title or pronouns if such personal title or pronouns do not correspond to his or her sex no student maybe asked for his or her preferred personal titles or pronouns or penalized or subjected to adverse or discriminatory treatment for not providing preferred personal titles or pronouns the state board of education may adopt rules consistent with this section section paragraph of subsection of section florida statutes is amended to read powers and duties of district school board the district school board acting as aboard shall exercise all powers and perform all duties listed below student welfare in accordance with the rights of parents enumerated in and adopt procedures for notifying students parent if there is change in the students services or monitoring related to the students mental emotional or physical health or wellbeing and the schools ability to provide safe and supportive learning environment for the student the procedures must reinforce the fundamental right of florida senate cs for page of coding words stricken are deletions words underlined are additions parents to make decisions regarding the upbringing and control of their children by requiring school district personnel to encourage student to discuss issues relating to his or her wellbeing with his or her parent or to facilitate discussion of the issue with the parent the procedures may not prohibit parents from accessing any of their students education and health records created maintained or used by the school district as required by school district may not adopt procedures or student support forms that prohibit school district personnel from notifying parent about his or her students mental emotional or physical health or wellbeing or change in related services or monitoring or that encourage or have the effect of encouraging student to withhold from parent such information school district personnel may not discourage or prohibit parental notification of and involvement in critical decisions affecting students mental emotional or physical health or wellbeing this sub paragraph does not prohibit school district from adopting procedures that permit school personnel to withhold such information from parent if reasonably prudent person would believe that disclosure would result in abuse abandonment or neglect as those terms are defined in classroom instruction by school personnel or third parties on sexual orientation or gender identity may not occur in pre kindergarten kindergarten through grade if provided in grades such instruction must be or in manner that is not age appropriate or developmentally appropriate for students in accordance with state standards this sub paragraph applies to florida senate cs for page of coding words stricken are deletions words underlined are additions charter schools student support services training developed,"This bill includes provisions designed to protect children in public schools. The bill includes requirements for age-appropriate and developmentally appropriate instruction for all students in prekindergarten through grade 12. The bill includes requirements for specific terminology and instruction relative to health and reproductive education in schools. Additionally, the bill extends the prohibition on classroom instruction on sexual orientation or gender identity to prekindergarten through grade 8. The bill enhances the process for transparency and review of library and classroom materials available to students in public schools and the process for parents to make objections to materials. The bill requires the suspension of materials alleged to contain pornography or materials harmful to minors as identified in current law pending resolution of an objection to the material.",FL SB1320,train,section florida statutes is added to section florida statutes to read system wide definitions as used in the florida early learning education code sex means the classification of human person as being either male or female based on the organization of the body of such person for specific reproductive role . the person sex chromosomes naturally occurring sex hormones and internal and external genitalia present at birth section section florida statutes is created to read personal titles . the state board of education may,0.17142857142857143,0.21818181818181817,0.1919999950720001,0.00909090909090909,0.013333333333333334,0.010810805989775707,0.15714285714285714,0.2,0.17599999507200015
section sub chapter chapter government code is amended by adding section to read as follows sec housing of inmates according to biological sex or institutional division under the jurisdiction of the department may not allow an inmate to be housed in cell block dormitory temporary housing or correctional facility that is designed for the biological sex opposite to the inmates biological sex as correctly determined by s sex organs determined at the initial in take screening required under the prison rape elimination act national standards cfr section or s official birth certificate as described by subsection statement of an inmates biological sex on the inmates official birth certificate is considered to have correctly stated the inmates biological sex only if the statement was s birth or s biological sex,"This bill would require inmates in state prisons to be separated based on ""biological sex.""	",TX HB2862,train,section sub chapter chapter government code is amended by adding section to read as follows sec housing of inmates according to biological sex or institutional division under the jurisdiction of the department may not allow an inmate to be housed in cell block dormitory temporary housing or correctional facility . the inmate's official birth certificate is considered to have correctly stated the inmates biological sex only if the statement was s birth or s biological sex .,0.3125,0.09259259259259259,0.14285713933061234,0.06666666666666667,0.013888888888888888,0.022988502893381252,0.1875,0.05555555555555555,0.08571428218775524
section section g is amended to read g private school and home school students participation in extracurricular activities in public school as used in this section academic eligibility requirements means the academic eligibility requirements that home school student is required to meet to participate in an extracurricular activity in public school association means the same as that term is defined in section g extracurricular activity means the same as that term is defined in section g initial establishment of eligibility requirements means an associations eligibility requirements policies procedures and transfer rules that school student in grade or must meet and to which the student is bound to participate on highschool sports team when the student attends the highschool in which the student is selected for membership on high school sports team or ii does not attend the highschool in which the student tries out for and is selected for membership on highschool sports team be minor means the same as that term is defined in section g cf parent means the same as that term is defined in section g principal means the principal of the school in which home school student participates or intends to participate in an extracurricular activity enrolled copy minor who is enrolled in private school or home schools hall be is eligible to participate in an extracurricular activity at public school as provided in this section ba private school student may only participate in an extracurricular activity at public school that is not offered by the students private school ci except as provided in subsection da private school student or home school student may only participate in an extracurricular activity at the school within whose with attendance boundaries within which the students custodial parent resides or ii the school from which the student withdrew for the purpose of attending private or home school ii private school student or home school student retains the ability to participate in an extracurricular activity at school described in subsection ci if the student did not initially establish the students eligibility at another school in grade or da school other than school described in subsection ci or ii may allow private school student or home school student to participate in an extracurricular activity other than that the public school sponsors and supports if for an interscholastic competition of athletic teams sponsored and supported by public school or the private school student or the home school student meets the initial establishment of eligibility requirements ii for an interscholastic contest or competition for music drama or forensic groups or teams sponsored and supported by public school the private school student subject to subsection bor the home school student meets the entry requirements for participation the private school student or the home school student meets the eligibility requirements under this section and iv the private school student or the home school student meets the enrollment requirements for public school in accordance with part school district enrollment except as provided in subsections through private school student or enrolled copy home school students hall be is eligible to participate in an extracurricular activity at public school consistent with eligibility standards applied to fully enrolled public school student ii of the public school where the private school student or the home school student participates in an extracurricular activity and for the extracurricular activity in which the private school or the home school student participates ba school district or public school may not impose additional requirements on private school student or home school student to participate in an extracurricular activity that are not imposed on fully enrolled public school student cia private school student or home school student who participates in an extracurricular activity at public schools hall pay the same fees as required of fully enrolled public school student to participate in an extracurricular activity ii if local school board or charter school governing board imposes,"This bill allows a private school student, a home school student, a charter school student, or an online school student to participate in extracurricular activities outside of the student's public school of residence under certain circumstances. The bill prohibits a public school from participation in an athletics association that does not collect a birth certificate or other identifying documents during the registration process and allows athletes without access to a birth certificate to provide alternative documentation to an athletic association in certain circumstances.",UT HB209,train,g cf parent means the same as that term is defined in section g cf parent means the same as that term is defined in section g cf parent means the same as that term is defined in section g principal means the principal of the school in which the student participates or intends to participate in an extracurricular activity at public school . ba private school student or home school student may only participate in an extracurricular activity at public school that is not offered by the students private school ci except as provided in,0.2830188679245283,0.375,0.3225806402589896,0.10666666666666667,0.13793103448275862,0.12030074696138864,0.24528301886792453,0.325,0.27956988757081747
section chapter education code is amended by adding section to read as follows sec parental rights and remedies s parent if there is change in the students services or monitoring related to the students mental emotional or physical health or wellbeing and the schools ability to provide safe and supportive learning environment for the student the procedures must reinforce the fundamental right of parents to make decisions regarding the upbringing and control of their children by requiring school district personnel to encourage student to discuss issues relating to his or her wellbeing with his or her parent or to facilitate discussion of the issue with the parent the procedures may not prohibit parents from accessing any of their students education and health records created maintained or used by the school district each school districts hall notify parents of each healthcare service offered at their students school and the option to withhold consent or decline any specific service parental consent to healthcare service does not waive the parents right to access his or her,"This bill bans classroom instruction about sexual orientation or gender identity in Texas from K-5th grade and in any grade if deemed ""not appropriate in accordance with state standards."" The bill requires schools to implement policies related to the disclosure of student information that could easily lead to students being ""outed."" Additionally, the bill provides a cause for civil lawsuits against schools.",TX HB631,train,section chapter education code is amended by adding section to read as follows sec parental rights and remedies s parent if there is change in the students services or monitoring related to the students mental emotional or physical health or wellbeing . procedures must reinforce the fundamental right of parents to make decisions regarding the upbringing and control of their children .,0.16666666666666666,0.1875,0.17647058325259532,0.031746031746031744,0.034482758620689655,0.033057846248207845,0.14814814814814814,0.16666666666666666,0.15686274011534043
section as is amended by adding new subsection to read in this section sex means biological sex sec as is amended by adding new sections to read article designation of athletic teams and sports sec athletic team and sport designation public school or private school whose students or teams compete against public school must designate each school sponsored athletic team or sport male menor boys team or sport female women or girls team or sport or coeducational or mixed team or sport ba student who participates in an athletic team or sport designated female women or girls must be female based on the participants biological sex sec compliance protected governmental entity licensing or ls accrediting organization athletic association or school district may not consider complaint open an investigation or take adverse action against school or school district for complying with as sec liability student who is deprived of an athletic opportunity or suffers director indirect harm resulting from violation of as may bring private cause of action for injunctive relief damages and any other relief available under law against the violating school ba student subjected to retaliation or other adverse action as result of reporting violation of as to an employee or representative of school school district or athletic association or organization or to state or federal government entity with oversight authority may bring private cause of action against the retaliating entity for injunctive relief damages and any other relief available under law if school or school district suffers director indirect harm as result of violation of as the school or school district may bring private cause of action against the violating entity for injunctive relief damages and any other relief available under law dan action brought under this section must be commenced within two years of the event giving rise to the complaint sec definitions in as school means an elementary junior high secondary or postsecondary school school district means borough school district city school district regional educational attendance area state boarding school and the state centralized correspondence study program,"The bill amends an existing regulation of school sports by specifying biological sex as the decisive factor for the designation of athletic teams and competitions, requiring public and private schools to strictly split men, women, or coeducational teams and sports. In other words, the amendment excludes transgender students from participating in school sports and athletic competitions. The bill also provides an avenue for legal action against the school by those suffering harm from a violation of this law, i.e. in the case of admitting transgender students to sports and competitions.",AK HB27,train,section as amended by adding new subsection to read in this section sex means biological sex sec . designation of athletic teams and sports sec athletic team and sport designation public school or private school whose students or teams compete against public school must designate each school sponsored athletic team or sport male menor boys team or sport female women or girls team or sport or coeducational or mixed team or sport ba student based on the participants biological sex sec compliance protected governmental entity licensing or ls accrediting organization athletic association or,0.3387096774193548,0.3620689655172414,0.3499999950055556,0.08235294117647059,0.08641975308641975,0.08433734440049384,0.25806451612903225,0.27586206896551724,0.2666666616722223
